mapping_id,parent_category,leaf_category,sub_category,etranoulis_taxonomy_path,etranoulis_category_page_url,skroutz_product_url,etranoulis_product_url,etranoulis_category_serialized,notes
27,ΤΗΛΕΦΩΝΙΑ,Smartphones,Android,ΤΗΛΕΦΩΝΙΑ > Smartphones > Android,https://www.etranoulis.gr/thlefwnia/smartphones/android,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Smartphones:::ΤΗΛΕΦΩΝΙΑ///Smartphones///Android,
28,ΤΗΛΕΦΩΝΙΑ,Smartphones,iOS,ΤΗΛΕΦΩΝΙΑ > Smartphones > iOS,https://www.etranoulis.gr/thlefwnia/smartphones/ios,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Smartphones:::ΤΗΛΕΦΩΝΙΑ///Smartphones///iOS,
29,ΤΗΛΕΦΩΝΙΑ,Σταθέρα,Ασύρματα,ΤΗΛΕΦΩΝΙΑ > Σταθέρα > Ασύρματα,https://www.etranoulis.gr/thlefwnia/stathera/asyrmata,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Σταθέρα:::ΤΗΛΕΦΩΝΙΑ///Σταθέρα///Ασύρματα,
30,ΤΗΛΕΦΩΝΙΑ,Σταθέρα,Ενσύρματα,ΤΗΛΕΦΩΝΙΑ > Σταθέρα > Ενσύρματα,https://www.etranoulis.gr/thlefwnia/stathera/ensyrmata,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Σταθέρα:::ΤΗΛΕΦΩΝΙΑ///Σταθέρα///Ενσύρματα,
31,ΤΗΛΕΦΩΝΙΑ,Tablets,Android,ΤΗΛΕΦΩΝΙΑ > Tablets > Android,https://www.etranoulis.gr/thlefwnia/tablets/tandroid,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Tablets:::ΤΗΛΕΦΩΝΙΑ///Tablets///Android,
32,ΤΗΛΕΦΩΝΙΑ,Tablets,iOS,ΤΗΛΕΦΩΝΙΑ > Tablets > iOS,https://www.etranoulis.gr/thlefwnia/tablets/tios,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Tablets:::ΤΗΛΕΦΩΝΙΑ///Tablets///iOS,
33,ΤΗΛΕΦΩΝΙΑ,Tablets,Θήκες,ΤΗΛΕΦΩΝΙΑ > Tablets > Θήκες,https://www.etranoulis.gr/thlefwnia/tablets/thikes,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Tablets:::ΤΗΛΕΦΩΝΙΑ///Tablets///Θήκες,
34,ΤΗΛΕΦΩΝΙΑ,Αξεσουάρ κινητών,Φορτιστές,ΤΗΛΕΦΩΝΙΑ > Αξεσουάρ κινητών > Φορτιστές,https://www.etranoulis.gr/thlefwnia/aksesouar-kinhtwn/fortistes,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Αξεσουάρ κινητών:::ΤΗΛΕΦΩΝΙΑ///Αξεσουάρ κινητών///Φορτιστές,
35,ΤΗΛΕΦΩΝΙΑ,Αξεσουάρ κινητών,Hands Free,ΤΗΛΕΦΩΝΙΑ > Αξεσουάρ κινητών > Hands Free,https://www.etranoulis.gr/thlefwnia/aksesouar-kinhtwn/hands-free,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Αξεσουάρ κινητών:::ΤΗΛΕΦΩΝΙΑ///Αξεσουάρ κινητών///Hands Free,
36,ΤΗΛΕΦΩΝΙΑ,Αξεσουάρ κινητών,Power Bank,ΤΗΛΕΦΩΝΙΑ > Αξεσουάρ κινητών > Power Bank,https://www.etranoulis.gr/thlefwnia/aksesouar-kinhtwn/power-bank,,,ΤΗΛΕΦΩΝΙΑ:::ΤΗΛΕΦΩΝΙΑ///Αξεσουάρ κινητών:::ΤΗΛΕΦΩΝΙΑ///Αξεσουάρ κινητών///Power Bank,
37,ΠΛΗΡΟΦΟΡΙΚΗ,Υπολογιστές,Desktops,ΠΛΗΡΟΦΟΡΙΚΗ > Υπολογιστές > Desktops,https://www.etranoulis.gr/plhroforikh/ypologistes/desktops,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Υπολογιστές:::ΠΛΗΡΟΦΟΡΙΚΗ///Υπολογιστές///Desktops,
38,ΠΛΗΡΟΦΟΡΙΚΗ,Υπολογιστές,Laptops,ΠΛΗΡΟΦΟΡΙΚΗ > Υπολογιστές > Laptops,https://www.etranoulis.gr/plhroforikh/ypologistes/laptops,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Υπολογιστές:::ΠΛΗΡΟΦΟΡΙΚΗ///Υπολογιστές///Laptops,
39,ΠΛΗΡΟΦΟΡΙΚΗ,Υπολογιστές,Τσάντες Laptop,ΠΛΗΡΟΦΟΡΙΚΗ > Υπολογιστές > Τσάντες Laptop,https://www.etranoulis.gr/plhroforikh/ypologistes/tsantes-laptop,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Υπολογιστές:::ΠΛΗΡΟΦΟΡΙΚΗ///Υπολογιστές///Τσάντες Laptop,
40,ΠΛΗΡΟΦΟΡΙΚΗ,Εκτυπωτές & Αναλώσιμα,Πολυμηχανήματα,ΠΛΗΡΟΦΟΡΙΚΗ > Εκτυπωτές & Αναλώσιμα > Πολυμηχανήματα,https://www.etranoulis.gr/plhroforikh/ektypwtes-analwsima/polymhxanhmata,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Εκτυπωτές & Αναλώσιμα:::ΠΛΗΡΟΦΟΡΙΚΗ///Εκτυπωτές & Αναλώσιμα///Πολυμηχανήματα,
41,ΠΛΗΡΟΦΟΡΙΚΗ,Εκτυπωτές & Αναλώσιμα,Εκτυπωτές,ΠΛΗΡΟΦΟΡΙΚΗ > Εκτυπωτές & Αναλώσιμα > Εκτυπωτές,https://www.etranoulis.gr/plhroforikh/ektypwtes-analwsima/ektypwtws,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Εκτυπωτές & Αναλώσιμα:::ΠΛΗΡΟΦΟΡΙΚΗ///Εκτυπωτές & Αναλώσιμα///Εκτυπωτές,
42,ΠΛΗΡΟΦΟΡΙΚΗ,Εκτυπωτές & Αναλώσιμα,Μελάνια,ΠΛΗΡΟΦΟΡΙΚΗ > Εκτυπωτές & Αναλώσιμα > Μελάνια,https://www.etranoulis.gr/plhroforikh/ektypwtes-analwsima/melania,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Εκτυπωτές & Αναλώσιμα:::ΠΛΗΡΟΦΟΡΙΚΗ///Εκτυπωτές & Αναλώσιμα///Μελάνια,
43,ΠΛΗΡΟΦΟΡΙΚΗ,Αποθηκευτικά Μέσα,Κάρτες μνήμης,ΠΛΗΡΟΦΟΡΙΚΗ > Αποθηκευτικά Μέσα > Κάρτες μνήμης,https://www.etranoulis.gr/plhroforikh/apothikeutika-mesa/kartes-mnhmhs,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Αποθηκευτικά Μέσα:::ΠΛΗΡΟΦΟΡΙΚΗ///Αποθηκευτικά Μέσα///Κάρτες μνήμης,
44,ΠΛΗΡΟΦΟΡΙΚΗ,Αποθηκευτικά Μέσα,Σκληροί δίσκοι,ΠΛΗΡΟΦΟΡΙΚΗ > Αποθηκευτικά Μέσα > Σκληροί δίσκοι,https://www.etranoulis.gr/index.php?route=product/category&path=139_143_156,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Αποθηκευτικά Μέσα:::ΠΛΗΡΟΦΟΡΙΚΗ///Αποθηκευτικά Μέσα///Σκληροί δίσκοι,
45,ΠΛΗΡΟΦΟΡΙΚΗ,Περιφερειακά,Αξεσουάρ Περιφερειακών,ΠΛΗΡΟΦΟΡΙΚΗ > Περιφερειακά > Αξεσουάρ Περιφερειακών,https://www.etranoulis.gr/plhroforikh/perifereiaka/axesoyar,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά///Αξεσουάρ Περιφερειακών,
46,ΠΛΗΡΟΦΟΡΙΚΗ,Περιφερειακά,Πληκτρολόγια,ΠΛΗΡΟΦΟΡΙΚΗ > Περιφερειακά > Πληκτρολόγια,https://www.etranoulis.gr/plhroforikh/perifereiaka/plhktrologia,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά///Πληκτρολόγια,
47,ΠΛΗΡΟΦΟΡΙΚΗ,Περιφερειακά,Ακουστικά,ΠΛΗΡΟΦΟΡΙΚΗ > Περιφερειακά > Ακουστικά,https://www.etranoulis.gr/plhroforikh/perifereiaka/akoustika,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά///Ακουστικά,
48,ΠΛΗΡΟΦΟΡΙΚΗ,Περιφερειακά,Οθόνες,ΠΛΗΡΟΦΟΡΙΚΗ > Περιφερειακά > Οθόνες,https://www.etranoulis.gr/plhroforikh/perifereiaka/othones,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά///Οθόνες,
49,ΠΛΗΡΟΦΟΡΙΚΗ,Περιφερειακά,Προστατευτικά Ρεύματος,ΠΛΗΡΟΦΟΡΙΚΗ > Περιφερειακά > Προστατευτικά Ρεύματος,https://www.etranoulis.gr/plhroforikh/perifereiaka/prostateutika-reumatos,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά///Προστατευτικά Ρεύματος,
50,ΠΛΗΡΟΦΟΡΙΚΗ,Περιφερειακά,Ποντίκια,ΠΛΗΡΟΦΟΡΙΚΗ > Περιφερειακά > Ποντίκια,https://www.etranoulis.gr/plhroforikh/perifereiaka/pontikia,,,ΠΛΗΡΟΦΟΡΙΚΗ:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά:::ΠΛΗΡΟΦΟΡΙΚΗ///Περιφερειακά///Ποντίκια,
51,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Κουζίνες,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Κουζίνες > -,https://www.etranoulis.gr/oikiakes-syskeues/kouzines,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Κουζίνες,
