schema_id,template_id,authored_template_id,category_path,parent_category,leaf_category,sub_category,category_gr,cta_map_key,cta_url,template_status,subcategory_match_policy,match_mode,template_file,fingerprint,n_sections,n_rows_total,last_section,last_label,example_count,first_example
sha1:ecf3f44eaebcf89ba258818d1a880f5b0dc795a3,axesoyar_analosima_thermos,axesoyar_analosima_thermos_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Καφές-Ροφήματα-Χυμοί > Αξεσουάρ-Αναλώσιμα-Θερμός,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Καφές-Ροφήματα-Χυμοί,Αξεσουάρ-Αναλώσιμα-Θερμός,Αξεσουάρ-Αναλώσιμα-Θερμός,Αξεσουάρ-Αναλώσιμα-Θερμός,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/kaf-aksesouar-analwsima-thermos,active,exact_subcategory,direct_single,resources/templates/electronet/axesoyar_analosima_thermos.json,ad09ea6a46f00b7c427a42e18be86e21cfd18e9159dc4bbef4ba82baf010262c,2,6,Γενικά Χαρακτηριστικά,Χρώμα,2,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/kaf-aksesouar-analwsima-thermos/fiali-ygraeriou-gia-gazaki-campingaz-elgreco-cv470
sha1:62d97665364bdffdce2cb6b12b9fbba59984bfce,apoxymotes,apoxymotes_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Καφές-Ροφήματα-Χυμοί > Αποχυμωτές,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Καφές-Ροφήματα-Χυμοί,Αποχυμωτές,Αποχυμωτές,Αποχυμωτές,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/apoxymwtes,active,exact_subcategory,direct_single,resources/templates/electronet/apoxymotes.json,cf0e744ad7d4cef89ffa00cc6b7ef5aa0558f58029b6e53624300023637b5be1,3,19,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/apoxymwtes/rohnson-r-439-apoxymotis-1200w-stomio-85mm-kanata-0-75lt
sha1:c35dc98b6c8551bb63444b31bddadf26aab71306,kafetieres_espresso,kafetieres_espresso_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Καφές-Ροφήματα-Χυμοί > Καφετιέρες Espresso,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Καφές-Ροφήματα-Χυμοί,Καφετιέρες Espresso,Καφετιέρες Espresso,Καφετιέρες Espresso,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/kafetieres-espresso,active,exact_subcategory,direct_single,resources/templates/electronet/kafetieres_espresso.json,ae08f5c28fb8b72dc616c80650824e471a039ceb0f9e0cba622ea1644351479b,2,25,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/kafetieres-espresso/kafetiera-espresso-delonghi-magnifica-s-ecam22115b-mayro-automati-15bar
sha1:e87f207d4ae6a90bb2e4e7a128dd4c7611a93a14,kafetieres_filtroy,kafetieres_filtroy_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Καφές-Ροφήματα-Χυμοί > Καφετιέρες Φίλτρου,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Καφές-Ροφήματα-Χυμοί,Καφετιέρες Φίλτρου,Καφετιέρες Φίλτρου,Καφετιέρες Φίλτρου,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/kafetieres-filtrou,active,exact_subcategory,direct_single,resources/templates/electronet/kafetieres_filtroy.json,fd3e759c5bdd6565c92915561ea6ef6d7071f63a77d194f081fc953c7ed7f867,3,18,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/kafetieres-filtrou/kafetiera-filtrou-gallikou-rohnson-mod-r-929
sha1:7587665f28c88477b4178c334219d06c9c66e1eb,styptiria,styptiria_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Καφές-Ροφήματα-Χυμοί > Στυπτήρια,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Καφές-Ροφήματα-Χυμοί,Στυπτήρια,Στυπτήρια,Στυπτήρια,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/stypthria,active,exact_subcategory,direct_single,resources/templates/electronet/styptiria.json,6914ff1a85eb1fa7265c8dc284189bd73222f61e980e47f8f2fd4e33b670a55b,3,19,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,1,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/stypthria/hlektrikos-lemonostyfths-bosch-MCP72GPW-40W
sha1:4319759389a6ea26a862818fe3711c385e3fa544,frapieres,frapieres_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Καφές-Ροφήματα-Χυμοί > Φραπιέρες,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Καφές-Ροφήματα-Χυμοί,Φραπιέρες,Φραπιέρες,Φραπιέρες,https://www.etranoulis.gr/oikiakos-eksoplismos/kafes-rofhmata-xhmoi/frapieres,active,exact_subcategory,direct_single,resources/templates/electronet/frapieres.json,17cf5854bdfe1c04c7f8148ded2fc515f8b919d4ffa778165ab98d9b75e559eb,1,8,Επισκόπηση Προϊόντος,Εγγύηση Κατασκευαστή,1,https://www.electronet.gr/exoplismos-spitioy/kafes-hymoi-rofimata/frapieres-ilektrika-mprikia/frapiera-rohnson-mod-r-4410-asimi
sha1:d5f9ec76f2f60cbc501fa514b86e9e93752df630,artoparaskeyastes,artoparaskeyastes_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Αρτοπαρασκευαστές,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Αρτοπαρασκευαστές,Αρτοπαρασκευαστές,Αρτοπαρασκευαστές,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/artoparaskeuastes,active,exact_subcategory,direct_single,resources/templates/electronet/artoparaskeyastes.json,908efbcd065d32a794fccea16dd69a8ab14621f56009af3e51dda450e0c75f11,3,18,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,1,https://www.electronet.gr/exoplismos-spitioy/mikroi-mageires/artoparaskeyastes/artoparaskeyastis-tefal-pain-dore-pf2101
sha1:532210a196c709101ef9cb4732e1129db4f11895,atmomageires,atmomageires_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Ατμομάγειρες,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Ατμομάγειρες,Ατμομάγειρες,Ατμομάγειρες,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/atmomageires,active,exact_subcategory,direct_single,resources/templates/electronet/atmomageires.json,4034b7423643a909baf39b67f16bc7280ca396ed62e1d62e24b23c7db9f4a3ae,3,19,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,1,https://www.electronet.gr/exoplismos-spitioy/mikroi-mageires/atmomageires/atmomageiras-braun-fs-3000wh-tributecollection-leyko
sha1:b7eaa6b91539391fa8e9f87dc40fe5968ed97858,mikroi_mageires_esties_small,mikroi_mageires_esties_small_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Εστίες,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Εστίες,Εστίες,Εστίες,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/esties_small,active,exact_subcategory,direct_single,resources/templates/electronet/mikroi_mageires_esties_small.json,4a5181a39e1282e31f3111a65187b6393f196ad382e410f107cd63f68cc31b3e,3,5,Διαστάσεις,Βάθος,1,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/esties_small/estia-hlektrikh-rohnson-mod-r-2410
sha1:4a792500820218e77f6e4e252c6d283374f6945a,pagotomixanes,pagotomixanes_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Παγωτομηχανές,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Παγωτομηχανές,Παγωτομηχανές,Παγωτομηχανές,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/pagwtomhxanes,active,exact_subcategory,direct_single,resources/templates/electronet/pagotomixanes.json,b7311f546ec00b51a35859c282f16cceed547684584fbf42e9219fb344b29513,1,9,Επισκόπηση Προϊόντος,Διαστάσεις Συσκευής σε Εκατοστά (Υ χ Π χ Β),1,https://www.electronet.gr/exoplismos-spitioy/mikroi-mageires/pagotomihanes-giaoyrtomihanes/pagotomihani-ninja-nc300eu-800-watt
sha1:ad3a924200aea062ee6755c18d6b7ce5f467761c,paraskeyastis_pop_korn,paraskeyastis_pop_korn_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Παρασκευαστής Ποπ Κορν,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Παρασκευαστής Ποπ Κορν,Παρασκευαστής Ποπ Κορν,Παρασκευαστής Ποπ Κορν,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/popcorn-maker,manual_only,exact_subcategory,manual_only,resources/templates/electronet/paraskeyastis_pop_korn.json,5abda9ad4d419bb327f34f852950127f4e498e192e53628e819ad6407d8fc7ff,1,1,TODO,NEEDS_MANUAL_LABELS,0,
sha1:53ed434fafd77b1adc2c44900ed9e9b95df6a6f1,tostieres,tostieres_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Τοστιέρες,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Τοστιέρες,Τοστιέρες,Τοστιέρες,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/tostieres,active,exact_subcategory,direct_single,resources/templates/electronet/tostieres.json,f842a5f222ac18f83ed2d7c00e7f665e536c57ffb76f6ceee1e0a0552d747783,3,19,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/tostieres/tostiera-braun-sm-5001-br
sha1:af57d9e20e9ecedbf9538785c7075afcba2f3bda,foyrnakia,foyrnakia_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Φουρνάκια,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Φουρνάκια,Φουρνάκια,Φουρνάκια,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/fournakia,active,exact_subcategory,direct_single,resources/templates/electronet/foyrnakia.json,ce93272835a9ea26bc0bf5d7c8c375ac1a5d1160e29901580c6802f21d07d053,3,22,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/fournakia/davoline-star-4508-fournaki-me-esties-38lt-3150w-3esties
sha1:24a0f9136b5ac84ff6573c07200199c2c65e22fd,fritezes,fritezes_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Φριτέζες,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Φριτέζες,Φριτέζες,Φριτέζες,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/fritezes,active,exact_subcategory,direct_single,resources/templates/electronet/fritezes.json,a7580121c0f55f3aeb3f717ca656e12cf1f8d3431445022a7c00b553453df96d,2,18,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.electronet.gr/oikiakos-eksoplismos/mikroi-mageires/fritezes/forma-mageirematos-air-fryer-rohnson-AF02
sha1:7af36f37c4b744dc9e0ec3e128d511849ec62caf,fryganieres,fryganieres_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Φρυγανιέρες,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Φρυγανιέρες,Φρυγανιέρες,Φρυγανιέρες,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/fryganieres,active,exact_subcategory,direct_single,resources/templates/electronet/fryganieres.json,f82b31a0fddb7338f9b0e845673cbd267a026cc0e2e0a00d416097babaef0a0e,3,18,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/fryganieres/fryganiera-philips-hd2640-10
sha1:56876482ac780e1ff67a6b42d2d27eea76a47e45,psistieres_gkrilieres,psistieres_gkrilieres_electronet_labels_v1,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Μικροί Μάγειρες > Ψηστιέρες - Γκριλιέρες,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Μικροί Μάγειρες,Ψηστιέρες - Γκριλιέρες,Ψηστιέρες - Γκριλιέρες,Ψηστιέρες - Γκριλιέρες,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/pshstieres-gkrilieres,active,exact_subcategory,direct_single,resources/templates/electronet/psistieres_gkrilieres.json,b6fd0a3d44479c14aaa786d3189e7c0cd5264638e439ccd18fdac01d2dbeee49,3,16,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,2,https://www.etranoulis.gr/oikiakos-eksoplismos/mikroi-mageires/pshstieres-gkrilieres/rohnson-r250n-electric-grill
sha1:d6a32a87c3285c6b3516d2960c38dd28a4b8837d,isiotika_mallion,isiotika_mallion,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ > Προσωπική Φροντίδα > Βούρτσες-Ψαλίδια-ισιωτικά,ΟΙΚΙΑΚΟΣ ΕΞΟΠΛΙΣΜΟΣ,Προσωπική Φροντίδα,Βούρτσες-Ψαλίδια-ισιωτικά,Βούρτσες-Ψαλίδια-ισιωτικά,Βούρτσες-Ψαλίδια-ισιωτικά,https://www.etranoulis.gr/oikiakos-eksoplismos/proswpikh-frontida/vourtses-psalidia,active,exact_subcategory,category_pool,resources/templates/electronet/isiotika_mallion.json,3b8e2e01245ea6a933d72b3279ee9cd9f68707baf0478e007e00a740e5dd10f6,2,17,Γενικά Χαρακτηριστικά,Εγγύηση Κατασκευαστή,1,https://www.electronet.gr/exoplismos-spitioy/gynaikeia-frontida/isiotika-mallion/isiotiko-mallion-philips-bhs52000
